budget,capacity,threshold_5th_pct,min_bc,mean_bc,low_tail_pct
50,max,5.6735512857961805e-05,4.641273008235655e-05,0.0027569992343728545,0.0
50,min,5.6735512857961805e-05,4.641273008235655e-05,0.0019723842528354863,0.0
75,max,6.849397262127745e-05,4.641273008235655e-05,0.003817735380829355,0.0
75,min,6.91856467250019e-05,4.641273008235655e-05,0.003382239958040841,0.0
100,max,6.91856467250019e-05,2.8461187866795536e-05,0.003233647246026878,0.0
100,min,6.296057979148185e-05,2.8461187866795536e-05,0.0031654492582041975,0.0
125,max,1.043577588192087e-05,4.64516336215709e-06,0.00400458484251003,1.8518518518518516
125,min,4.796114749869734e-05,2.1741316579945243e-05,0.0041230862989698955,0.0
150,max,1.3262161056426963e-05,4.64516336215709e-06,0.0035473113266381836,1.5873015873015872
150,min,5.6735512857961805e-05,2.1741316579945243e-05,0.003539138494436428,0.0
175,max,1.043577588192087e-05,4.64516336215709e-06,0.003562244111455638,1.9230769230769231
175,min,5.6735512857961805e-05,2.1621315008823055e-05,0.0030128264370393298,0.0
200,max,2.061076251014281e-05,4.64516336215709e-06,0.00377328883166119,1.675977653631285
200,min,2.5802634851096753e-05,4.64516336215709e-06,0.0030362489823551686,1.2987012987012987
225,max,1.043577588192087e-05,4.64516336215709e-06,0.003979171349498683,2.9268292682926833
225,min,2.642745304665852e-05,4.64516336215709e-06,0.003395285503605622,1.1363636363636365
250,max,1.394365927027966e-05,4.64516336215709e-06,0.003453523305051644,2.4390243902439024
250,min,1.043577588192087e-05,4.526252117557955e-06,0.0030503860248628795,4.854368932038835
275,max,6.316154465076461e-06,1.8582552739948e-06,0.002805493801376247,17.491749174917494
275,min,5.28319786048801e-06,1.8582552739948e-06,0.002819008426168737,10.975609756097562
300,max,6.316154465076461e-06,1.8582552739948e-06,0.0026771728039486293,17.065868263473057
300,min,6.316154465076461e-06,1.8582552739948e-06,0.0025761210267187516,9.774436090225564
325,max,6.316154465076461e-06,1.8582552739948e-06,0.002403039800810776,16.201117318435752
325,min,4.645439717930342e-06,1.2283633212355057e-06,0.002245250759602203,21.68284789644013
350,max,6.316154465076461e-06,1.8582552739948e-06,0.0026164801059075857,15.591397849462366
350,min,7.2566505370465105e-06,1.8582552739948e-06,0.005174360209019616,6.8354430379746836
375,max,6.842477279411149e-06,1.8582552739948e-06,0.002586750618466669,14.146341463414632
375,min,6.316154465076461e-06,1.2283633212355057e-06,0.0044742420734678705,15.95238095238095
400,max,6.316154465076461e-06,1.2283633212355057e-06,0.0028203184302289983,15.859030837004406
400,min,6.316154465076461e-06,1.2283633212355057e-06,0.004610034397785049,15.384615384615385
425,max,6.316154465076461e-06,1.2283633212355057e-06,0.0026480934400692348,16.23931623931624
425,min,6.316154465076461e-06,1.2283633212355057e-06,0.004418481137165327,15.74279379157428
450,max,5.489789181405703e-06,1.2283633212355057e-06,0.0025437846591559784,16.155419222903884
450,min,6.316154465076461e-06,1.2283633212355057e-06,0.00429355962520856,15.677966101694915
475,max,6.316154465076461e-06,1.2283633212355057e-06,0.00262706712382833,14.466546112115733
475,min,6.316154465076461e-06,1.2283633212355057e-06,0.004139159426989238,15.29175050301811
500,max,6.316154465076461e-06,1.2283633212355057e-06,0.002650093393896315,13.893653516295027
500,min,7.2566505370465105e-06,1.2283633212355057e-06,0.005255297303947893,12.16
525,max,6.316154465076461e-06,1.2283633212355057e-06,0.002619728386753421,13.333333333333334
525,min,7.215233211282975e-06,1.2283633212355057e-06,0.005037856577843333,12.050078247261347
550,max,6.842477279411149e-06,1.2283633212355057e-06,0.002833607855689072,12.053571428571429
550,min,7.2566505370465105e-06,1.2283633212355057e-06,0.004912150362924783,11.255411255411255
575,max,6.316154465076461e-06,1.2283633212355057e-06,0.002789212794185749,12.77533039647577
575,min,7.726593868963095e-06,1.2283633212355057e-06,0.0049850190305996125,11.002785515320335
600,max,6.658264294394007e-06,1.2283633212355057e-06,0.002682687040357157,12.536023054755043
600,min,7.2566505370465105e-06,1.2283633212355057e-06,0.003955470372040796,12.125534950071327
