budget,capacity,terminal,root,node,bc_tr_asp,num_interm_nodes,family_size,category,value
50,max,1909,1843,1850,4.641273008235655e-05,4,2,dominant,7328149.206943658
50,min,1909,1843,1850,4.641273008235655e-05,4,2,dominant,7328149.206943658
75,max,1909,1843,1850,4.641273008235655e-05,4,2,dominant,7328149.206943658
75,min,1909,1843,1850,4.641273008235655e-05,4,2,dominant,7328149.206943658
100,max,1885,1857,1861,2.8461187866795536e-05,3,1,only_child,3520901.1538083083
100,min,1885,1853,1861,2.8461187866795536e-05,2,1,only_child,3459942.5262681595
125,max,1535,1301,1354,4.64516336215709e-06,2,3,protected,2495000.390292799
125,min,1772,1750,1755,2.1741316579945243e-05,3,2,dominant,9706627.168543397
150,max,1535,1301,1354,4.64516336215709e-06,2,3,protected,2495000.390292799
150,min,1772,1750,1755,2.1741316579945243e-05,3,2,dominant,9706627.168543397
175,max,1534,1301,1354,4.64516336215709e-06,2,3,protected,1479316.148840353
175,min,1527,1319,1351,2.1621315008823055e-05,1,2,dominant,4021824.011161632
200,max,1534,1301,1354,4.64516336215709e-06,2,3,protected,1479316.148840353
200,min,1535,1301,1354,4.64516336215709e-06,2,3,protected,2495000.390292799
225,max,1534,1301,1354,4.64516336215709e-06,2,3,protected,1479316.148840353
225,min,1535,1301,1354,4.64516336215709e-06,2,3,protected,2495000.390292799
250,max,1534,1301,1354,4.64516336215709e-06,2,3,protected,1479316.148840353
250,min,2037,2001,2030,4.526252117557955e-06,7,2,dominant,4168347.319640271
275,max,2045,2001,2034,1.8582552739948e-06,8,1,only_child,3369222.6176577727
275,min,2045,2001,2034,1.8582552739948e-06,8,1,only_child,3369222.6176577727
300,max,2045,2001,2034,1.8582552739948e-06,8,1,only_child,3369222.6176577727
300,min,2045,2001,2034,1.8582552739948e-06,8,1,only_child,3369222.6176577727
325,max,2045,2001,2034,1.8582552739948e-06,8,1,only_child,3369222.6176577727
325,min,2047,2001,2022,1.2283633212355057e-06,8,1,only_child,2393188.509662215
350,max,2045,2001,2034,1.8582552739948e-06,8,1,only_child,3369222.6176577727
350,min,2045,2001,2034,1.8582552739948e-06,8,1,only_child,3369222.6176577727
375,max,2045,2001,2034,1.8582552739948e-06,8,1,only_child,3369222.6176577727
375,min,2047,2001,2022,1.2283633212355057e-06,8,1,only_child,2393188.509662215
400,max,2047,2001,2022,1.2283633212355057e-06,8,1,only_child,2393188.509662215
400,min,2047,2001,2022,1.2283633212355057e-06,8,1,only_child,2393188.509662215
425,max,2047,2001,2022,1.2283633212355057e-06,8,1,only_child,2393188.509662215
425,min,2047,2001,2022,1.2283633212355057e-06,8,1,only_child,2393188.509662215
450,max,2047,2001,2022,1.2283633212355057e-06,8,1,only_child,2393188.509662215
450,min,2047,2001,2022,1.2283633212355057e-06,8,1,only_child,2393188.509662215
475,max,2047,2001,2022,1.2283633212355057e-06,8,1,only_child,2393188.509662215
475,min,2047,2001,2022,1.2283633212355057e-06,8,1,only_child,2393188.509662215
500,max,2047,2001,2022,1.2283633212355057e-06,8,1,only_child,2393188.509662215
500,min,2047,2001,2022,1.2283633212355057e-06,8,1,only_child,2393188.509662215
525,max,2047,2001,2022,1.2283633212355057e-06,8,1,only_child,2393188.509662215
525,min,2047,2001,2022,1.2283633212355057e-06,8,1,only_child,2393188.509662215
550,max,2047,2001,2022,1.2283633212355057e-06,8,1,only_child,2393188.509662215
550,min,2047,2001,2022,1.2283633212355057e-06,8,1,only_child,2393188.509662215
575,max,2047,2001,2022,1.2283633212355057e-06,8,1,only_child,2393188.509662215
575,min,2047,2001,2022,1.2283633212355057e-06,8,1,only_child,2393188.509662215
600,max,2047,2001,2022,1.2283633212355057e-06,8,1,only_child,2393188.509662215
600,min,2047,2001,2022,1.2283633212355057e-06,8,1,only_child,2393188.509662215
