budget,capacity,safe_threshold,min_used
50,max,4.640316543679791e-05,4.641273008235655e-05
50,min,4.640316543679791e-05,4.641273008235655e-05
75,max,4.640316543679791e-05,4.641273008235655e-05
75,min,4.640316543679791e-05,4.641273008235655e-05
100,max,2.8456005921973117e-05,2.8461187866795536e-05
100,min,2.8456005921973117e-05,2.8461187866795536e-05
125,max,4.637138421336194e-06,4.64516336215709e-06
125,min,2.1734233877452187e-05,2.1741316579945243e-05
150,max,4.637138421336194e-06,4.64516336215709e-06
150,min,2.1734233877452187e-05,2.1741316579945243e-05
175,max,4.637138421336194e-06,4.64516336215709e-06
175,min,2.1614290900847146e-05,2.1621315008823055e-05
200,max,4.637138421336194e-06,4.64516336215709e-06
200,min,4.637138421336194e-06,4.64516336215709e-06
225,max,4.637138421336194e-06,4.64516336215709e-06
225,min,4.637138421336194e-06,4.64516336215709e-06
250,max,4.637138421336194e-06,4.64516336215709e-06
250,min,4.51915617083549e-06,4.526252117557955e-06
275,max,1.8520965483130983e-06,1.8582552739948e-06
275,min,1.8520965483130983e-06,1.8582552739948e-06
300,max,1.8520965483130983e-06,1.8582552739948e-06
300,min,1.8520965483130983e-06,1.8582552739948e-06
325,max,1.8520965483130983e-06,1.8582552739948e-06
325,min,1.223302843314179e-06,1.2283633212355057e-06
350,max,1.8520965483130983e-06,1.8582552739948e-06
350,min,1.8520965483130983e-06,1.8582552739948e-06
375,max,1.8520965483130983e-06,1.8582552739948e-06
375,min,1.223302843314179e-06,1.2283633212355057e-06
400,max,1.223302843314179e-06,1.2283633212355057e-06
400,min,1.223302843314179e-06,1.2283633212355057e-06
425,max,1.223302843314179e-06,1.2283633212355057e-06
425,min,1.223302843314179e-06,1.2283633212355057e-06
450,max,1.223302843314179e-06,1.2283633212355057e-06
450,min,1.223302843314179e-06,1.2283633212355057e-06
475,max,1.223302843314179e-06,1.2283633212355057e-06
475,min,1.223302843314179e-06,1.2283633212355057e-06
500,max,1.223302843314179e-06,1.2283633212355057e-06
500,min,1.223302843314179e-06,1.2283633212355057e-06
525,max,1.223302843314179e-06,1.2283633212355057e-06
525,min,1.223302843314179e-06,1.2283633212355057e-06
550,max,1.223302843314179e-06,1.2283633212355057e-06
550,min,1.223302843314179e-06,1.2283633212355057e-06
575,max,1.223302843314179e-06,1.2283633212355057e-06
575,min,1.223302843314179e-06,1.2283633212355057e-06
600,max,1.223302843314179e-06,1.2283633212355057e-06
600,min,1.223302843314179e-06,1.2283633212355057e-06
